term,estimate,robust_std_error,statistic,p_value,percent_change
(Intercept),2.7963605952351296,0.039092364335871765,71.53214298346097,0,1538.4906820152055
season夏季,0.3010285289037804,0.02827357114475576,10.646993524891736,2.172910811978936e-26,35.12478906091863
season秋季,0.3537387898444925,0.03380694694577301,10.463494098177403,1.514320568880558e-25,42.438307455789
season冬季,0.5822147919161925,0.03183517959841623,18.288409214602236,5.0834541502031036e-74,78.99985179943303
yr2012年,0.45751601774929634,0.009125533137533354,50.13581243462161,0,58.01440562892224
mnth2月,0.10941412111224018,0.025013543320256716,4.374195199431555,1.2259249384912998e-5,11.562425825060686
mnth3月,0.13053370698871472,0.02831281470573923,4.610410810277175,4.04743200506225e-6,13.943634621433931
mnth4月,0.08863675673137081,0.03969116109984963,2.2331610936850774,0.025551036787793087,9.268367424075109
mnth5月,0.2122664420021395,0.04176755136736398,5.0820896857266735,3.7718729508843494e-7,23.647729067773927
mnth6月,0.10507306601057619,0.04324358254548768,2.4297955864329794,0.015117426851751714,11.079176851382378
mnth7月,-0.03887273126382171,0.04877626453367,-0.7969599893609743,0.4254851856672508,-3.812688226713379
mnth8月,0.024215134243498523,0.04704293291457307,0.5147454196249125,0.6067374939884814,2.451070151846624
mnth9月,0.12354476118183548,0.042705046991168,2.892977994085483,0.003820831993300155,13.150065071495254
mnth10月,0.04653878867491051,0.041405245880253946,1.123982908095825,0.2610358438634017,4.763871479795756
mnth11月,-0.040213872218823284,0.03998673161435295,-1.00568039935499,0.31458337457689556,-3.941602504452524
mnth12月,-0.03228391893999713,0.03389880813741793,-0.9523614756343525,0.3409269709499456,-3.1768356251020036
hr1时,-0.5900376743401575,0.03662548640834826,-16.110029714326657,5.718798099389908e-58,-44.569359878678775
hr2时,-1.0693131900237958,0.042133045392184404,-25.37944219484669,1.4893963497033449e-139,-65.67558199911619
hr3时,-1.5842838617989734,0.03841977989883225,-41.236151429569404,0,-79.49053833726482
hr4时,-1.8536555370669663,0.02801233936182876,-66.17282166704238,0,-84.33365706788139
hr5时,-0.8894699400364735,0.032371693844478515,-27.476780928106614,1.0032522896926521e-162,-58.912651737448215
hr6时,0.2746829427102353,0.04142750899464812,6.630447965039864,3.445466086656279e-11,31.611332538530014
hr7时,1.232284438226558,0.04386109490339987,28.09515906843078,7.051722714254495e-170,242.90540577393637
hr8时,1.8555063296732603,0.03837935650111988,48.34646796694255,0,539.4935376565018
hr9时,1.5371663250559588,0.026250569569315353,58.55744657261736,0,365.1391048398339
hr10时,1.2112505511739067,0.0264177464277024,45.84988180156635,0,235.76809800321982
hr11时,1.3243461012597664,0.02757538963570549,48.02637854824582,0,275.9726070884772
hr12时,1.50504005340639,0.02784848321322789,54.04387886703659,0,350.43340405972805
hr13时,1.477994629908958,0.02817431586197524,52.45893590281269,0,338.41450262728
hr14时,1.399210902500418,0.028897186509714755,48.42031600654363,0,305.2001280894053
hr15时,1.4507095738158213,0.02844419702628744,51.00195208446597,0,326.614058308494
hr16时,1.7043292720756753,0.026396253554616247,64.56708974056728,0,449.76969714159435
hr17时,2.097749661957558,0.027705279229678664,75.71660420987168,0,714.7813931080334
hr18时,2.0226378967659087,0.02783161091293562,72.67412235293301,0,655.8236507416582
hr19时,1.740294842247009,0.026753190315084108,65.04999298217484,0,469.90234878736425
hr20时,1.4544935203856002,0.025649463032872376,56.7065875227688,0,328.23140115070686
hr21时,1.2041112047042846,0.02564393882260648,46.95500223400928,0,233.37946998537427
hr22时,0.9559533261560761,0.02534690522122614,37.714794678584134,3.1020342811684775e-299,160.11491448084675
hr23时,0.5673863849199748,0.026087149400929387,21.749650611490768,1.679962511314903e-103,76.36515162461674
holiday节假日,-0.21077965704258383,0.03179644315872594,-6.629032561610253,3.4785773400986956e-11,-19.004748544686624
workingday工作日,-0.042518468174910916,0.012152991708285345,-3.4986009367490802,4.68878863117405e-4,-4.162723403836344
weathersit多云或有雾,-0.04234166457685223,0.011445693546859865,-3.699353333504958,2.1681751107911851e-4,-4.145777530504457
weathersit小雨雪,-0.5693041873288566,0.022538398952906467,-25.25930029539393,2.8116273067295e-138,-43.408092460154215
weathersit恶劣天气,-0.1038614082682448,0.5039938846691243,-0.20607672320554163,0.8367334011816112,-9.864979154850595
temp_celsius,0.03429608146972588,0.0013226863140684548,25.929111917877535,1.8364886987852955e-145,3.489097341154457
hum_percent,-0.0029726821644834203,3.4321112210505594e-4,-8.661380628491086,5.0646644622269895e-18,-0.2968268119791784
windspeed_real,-0.0036382351627859515,5.932354136584974e-4,-6.132869142704859,8.817926754578693e-10,-0.36316248043455346
