variable,importance
hr,261836936.5149882
temp_celsius,55552083.199340045
mnth,47297166.20099396
yr,39736596.45187709
season,39095584.05330629
hum_percent,29695736.470790036
workingday,25913736.55919954
weathersit,5130026.741218703
windspeed_real,3474077.8627251363
holiday,2232034.023398299
