model,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs
线性回归基准模型,0.8263880890057497,0.8259273142592845,0.5915636632453803,1793.4752183040773,0,46,-15512.469741062272,31120.939482124544,31493.56433939325,6065.291242896195,17332,17379
线性回归交互项模型,0.9299279978689332,0.9296486652589012,0.37607316523631623,3329.106464735562,0,69,-7628.494243613109,15398.988487226217,15950.162755269514,2448.029622298404,17309,17379
