model,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs
休闲用户 log1p(casual),0.8214536223234347,0.8209797512541338,0.6304476357321702,1733.4960404640037,0,46,-16618.830648503637,33333.661297007275,33706.28615427598,6888.849885309708,17332,17379
注册用户 log1p(registered),0.8142285764974961,0.81373552979307,0.6034533272403213,1651.4228148934806,0,46,-15858.301291123824,31812.602582247648,32185.227439516355,6311.550373504305,17332,17379
