term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),2.7963605952351296,0.03715627215149041,75.25944970566597,0,2.7235305540037484,2.8691906364665107
season夏季,0.3010285289037804,0.028223010352446877,10.666067338124398,1.7724842681276621e-26,0.2457085818632927,0.3563484759442681
season秋季,0.3537387898444925,0.03340813573356344,10.588402557557538,4.053324120544847e-26,0.2882554740527763,0.41922210563620865
season冬季,0.5822147919161925,0.028371018942434146,20.521462168754955,1.73747673234113e-92,0.5266047331102559,0.6378248507221291
yr2012年,0.45751601774929634,0.009087020286703124,50.3482993670402,0,0.43970454141354565,0.47532749408504704
mnth2月,0.10941412111224018,0.022784747699353607,4.802077361398397,1.5833953797413923e-6,0.06475371740906694,0.15407452481541342
mnth3月,0.13053370698871472,0.02561877483971454,5.095236122937454,3.5196558981077574e-7,0.08031832423269641,0.18074908974473303
mnth4月,0.08863675673137081,0.03805150125629323,2.3293892173757906,0.01984988467904835,0.014051976156158608,0.163221537306583
mnth5月,0.2122664420021395,0.040706646831588846,5.214540094160205,1.8639151205188487e-7,0.13247730828472595,0.2920555757195531
mnth6月,0.10507306601057619,0.04178577591010973,2.514565392697533,0.011926898643550286,0.023168730451540165,0.1869774015696122
mnth7月,-0.03887273126382171,0.0468791400760631,-0.829211696305634,0.40699604723943517,-0.13076057433675514,0.05301511180911174
mnth8月,0.024215134243498523,0.04558893516707017,0.5311625321968392,0.5953129609536636,-0.06514377706965621,0.11357404555665326
mnth9月,0.12354476118183548,0.04061364469756671,3.041952085360057,0.002354007573292731,0.04393792102788337,0.20315160133578758
mnth10月,0.04653878867491051,0.0376768950745991,1.2352076407242456,0.21676997972647724,-0.02731172599905412,0.12038930334887513
mnth11月,-0.040213872218823284,0.03624149859359795,-1.1096084262345336,0.26718319371728894,-0.11125086500694126,0.030823120569294697
mnth12月,-0.03228391893999713,0.028783405647361045,-1.1216156745147712,0.2620414230936212,-0.08870229728349792,0.024134459403503658
hr1时,-0.5900376743401575,0.031079748011738142,-18.98463507867931,1.4655956642812755e-79,-0.650957115341319,-0.5291182333389961
hr2时,-1.0693131900237958,0.031188311133671046,-34.28570355864381,2.5454759937931776e-249,-1.1304454256943026,-1.008180954353289
hr3时,-1.5842838617989734,0.031413759791599015,-50.43279990390258,0,-1.6458579995791836,-1.5227097240187633
hr4时,-1.8536555370669663,0.03144519719742416,-58.94876490769181,0,-1.9152912953335675,-1.7920197788003651
hr5时,-0.8894699400364735,0.0312413379004618,-28.470929858075177,2.6963452606711674e-174,-0.9507061135185022,-0.8282337665544448
hr6时,0.2746829427102353,0.031159230843358525,8.815459665583592,1.3029951674037723e-18,0.21360770734196138,0.3357581780785092
hr7时,1.232284438226558,0.031097959972871472,39.6258931229428,0,1.1713292999446028,1.2932395765085134
hr8时,1.8555063296732603,0.031059888254414685,59.73963313952132,0,1.7946258157996324,1.9163868435468883
hr9时,1.5371663250559588,0.031092331737358717,49.4387599502224,0,1.4762222186833076,1.59811043142861
hr10时,1.2112505511739067,0.03122167857089804,38.79517715306064,8.48699553e-316,1.150052911960786,1.2724481903870273
hr11时,1.3243461012597664,0.03145282068748796,42.105797582300646,0,1.2626954001836872,1.3859968023358455
hr12时,1.50504005340639,0.03172124914012504,47.4458003453157,0,1.4428632054877661,1.5672169013250137
hr13时,1.477994629908958,0.03194022633565149,46.27376820618297,0,1.4153885645996902,1.5406006952182256
hr14时,1.399210902500418,0.0321200240083709,43.56195070513538,0,1.3362524156171,1.462169389383736
hr15时,1.4507095738158213,0.03218233907238098,45.0778164555735,0,1.3876289431215558,1.5137902045100868
hr16时,1.7043292720756753,0.03211443572736285,53.070503450369365,0,1.6413817387868022,1.7672768053645485
hr17时,2.097749661957558,0.031926686425120414,65.70521080781549,0,2.0351701362386514,2.1603291876764645
hr18时,2.0226378967659087,0.03171777992754667,63.769844591464036,0,1.960467848853865,2.0848079446779524
hr19时,1.740294842247009,0.03142141592526935,55.385627636450664,0,1.6787056976725594,1.8018839868214587
hr20时,1.4544935203856002,0.031249825646384812,46.544052336300496,0,1.3932407100654352,1.5157463307057653
hr21时,1.2041112047042846,0.03112266419357792,38.68920723543808,3.7217068313e-314,1.1431076436579222,1.265114765750647
hr22时,0.9559533261560761,0.031065322578324388,30.772361167209827,1.6613830653407172e-202,0.8950621604594452,1.0168444918527069
hr23时,0.5673863849199748,0.031040271122318552,18.279040884794757,6.016690642971957e-74,0.5065443226039622,0.6282284472359875
holiday节假日,-0.21077965704258383,0.028047751851401,-7.515028589788927,5.96675994263909e-14,-0.2657560797433509,-0.15580323434181678
workingday工作日,-0.042518468174910916,0.010023987305252793,-4.241672188933269,2.2301164319130008e-5,-0.06216649437538422,-0.022870441974437612
weathersit多云或有雾,-0.04234166457685223,0.011150614274732315,-3.797249508737822,1.4680938310245977e-4,-0.06419799327616187,-0.020485335877542588
weathersit小雨雪,-0.5693041873288566,0.0187712113206788,-30.328580164759956,6.510297054038501e-197,-0.606097654899396,-0.5325107197583171
weathersit恶劣天气,-0.1038614082682448,0.3423971835009732,-0.3033360473537587,0.7616374184745512,-0.7749944242558113,0.5672716077193216
temp_celsius,0.03429608146972588,0.0013310676661793582,25.76584372165537,1.0748552312632137e-143,0.03168705458418801,0.036905108355263755
hum_percent,-0.0029726821644834203,3.2153311326668606e-4,-9.245337546362816,2.611095839657165e-20,-0.0036029194983309095,-0.002342444830635931
windspeed_real,-0.0036382351627859515,5.935958047005968e-4,-6.129145681245233,9.026306484852555e-10,-0.004801742813791923,-0.00247472751177998
