term,estimate,std.error,statistic,p.value
(Intercept),3.0045717974434325,0.03404369106413355,88.25634658072886,0
season夏季,0.257618508008245,0.02571181832409233,10.019458941449228,1.2518637298459702e-23
season秋季,0.3065668088540146,0.03031443621385453,10.112898247268248,4.842998231642428e-24
season冬季,0.5292972083985927,0.025968415586205763,20.382345108484465,2.3988255931073002e-92
yr2012年,0.47402152325067115,0.008252428865759744,57.44024346788856,0
mnth2月,0.10476981146148266,0.02103667137085787,4.9803416906830815,6.34721061850199e-7
mnth3月,0.15539434387412165,0.023576677555957302,6.591019599996903,4.3681620880473393e-11
mnth4月,0.1239362576440154,0.034770495897226826,3.564408687478631,3.646773750256538e-4
mnth5月,0.24231815270953883,0.037141615805618845,6.524168306993271,6.837989180160082e-11
mnth6月,0.14927470093346734,0.03809651103834043,3.9183299694619516,8.916459219951027e-5
mnth7月,0.03148488967159691,0.042609306383518966,0.7389204928192655,0.459955277719991
mnth8月,0.07952686852594787,0.04143190434879618,1.9194596477257642,0.05492618840554557
mnth9月,0.1813732464977681,0.03696750995972857,4.906287891593221,9.281626034836589e-7
mnth10月,0.08665765589682335,0.03444723288815382,2.5156637741612142,0.011880846385433583
mnth11月,0.010050187246907972,0.0331772470876716,0.30292408590592623,0.7619477153322944
mnth12月,0.017438955547718876,0.026551331473064235,0.6568015455424647,0.5113085303213423
hr1时,-0.46963295709955016,0.028779092909090618,-16.31854619542941,7.284992281643015e-60
hr2时,-0.8342174586789735,0.029273741475584265,-28.49712461165074,1.271590926414922e-178
hr3时,-1.4886966815132696,0.03060947026462003,-48.63516645807426,0
hr4时,-2.056622265477712,0.03233859197002844,-63.596530961638635,0
hr5时,-0.875026184292183,0.029405844382430418,-29.75688005799959,1.4128017040397103e-194
hr6时,0.4911990061960304,0.028307599537953684,17.35219567231233,1.8984722174285705e-67
hr7时,1.5104256957380369,0.028013482098453252,53.9178132311311,0
hr8时,2.042420683447316,0.02791945268608357,73.15403730909665,0
hr9时,1.5009618493275165,0.028002196633230253,53.60157522593505,0
hr10时,1.1502000535267725,0.02816964323507729,40.83118994189195,0
hr11时,1.2803563992948548,0.02835438598474864,45.15549728297899,0
hr12时,1.4608708794226655,0.028575411617652143,51.12335384594176,0
hr13时,1.4399614732263308,0.02877724168579588,50.03820341603759,0
hr14时,1.373561034134197,0.02894928999374867,47.447140652872825,0
hr15时,1.4160320837363984,0.029000929869891886,48.82712692624698,0
hr16时,1.6402773165349176,0.028914100103256905,56.72932274140379,0
hr17时,2.0766531157580763,0.02870806332597357,72.33692820648156,0
hr18时,2.0121209350183085,0.028519131628749212,70.55337312549707,0
hr19时,1.707567519046708,0.028272430575151067,60.396912621566635,0
hr20时,1.4076523678698865,0.028152816803787808,50.000409468103186,0
hr21时,1.154449375854134,0.028076037831892144,41.118671472324756,0
hr22时,0.8983835484599436,0.0280787019772735,31.995195119314364,1.2718262960541538e-224
hr23时,0.5139720358226822,0.028170986200380513,18.24472995609007,2.27860117692278e-74
holiday节假日,-0.2832390348978905,0.02557693784968343,-11.074000983327103,1.6774047148807112e-28
workingday工作日,-0.20162206787466486,0.009086853757976972,-22.188325381342164,4.452674484185477e-109
weathersit多云或有雾,-0.04014741878169622,0.010142890062410202,-3.95818337127438,7.552197001380433e-5
weathersit小雨雪,-0.5025205770031902,0.017312051808050816,-29.02721078789156,2.9848537910617e-185
weathersit恶劣天气,-0.23481077351960403,0.3150636173926631,-0.7452805102118785,0.45610216074367904
temp_celsius,0.032600815024244396,0.001210004731758092,26.942716973409368,6.943032816176372e-160
hum_percent,-0.0024330493405061177,2.920840464021029e-4,-8.329963140666079,8.086752846832942e-17
windspeed_real,-0.0034346163642570656,5.373522486757027e-4,-6.391740934780921,1.6400760143732875e-10
