term,estimate,std.error,statistic,p.value,conf.low,conf.high
hr21时,0.38611997517108565,0.035095586940102924,11.001952348882794,4.632274493307781e-28,0.31732907842378344,0.45491087191838786
hr22时,0.19505211086197374,0.03508048779850116,5.560131090033117,2.7355544841865812e-8,0.12629080995795156,0.26381341176599593
hr23时,-0.08715607488014417,0.03507595697385323,-2.4847810979216662,0.0129724881619644,-0.1559084949100249,-0.01840365485026345
holiday节假日,-0.20203711749701872,0.0178312556760664,-11.330504209425838,1.1787218127066993e-29,-0.23698818043779518,-0.16708605455624226
workingday工作日,-0.935745555830833,0.03005497617550321,-31.134463403552033,4.07614539449691e-207,-0.9946563461350456,-0.8768347655266203
weathersit多云或有雾,-0.0601609211313146,0.007107071054506351,-8.464938744796791,2.7652653463138774e-17,-0.07409149855464384,-0.04623034370798535
weathersit小雨雪,-0.5840941721333449,0.011942961971344538,-48.90697747634104,0,-0.6075035844115859,-0.5606847598551039
weathersit恶劣天气,-0.49306931809216725,0.21783047739322584,-2.2635460565147754,0.023614375792404965,-0.9200390651531634,-0.0660995710311712
temp_celsius,0.03375976064348877,8.462344649556293e-4,39.89409796167886,0,0.032101055581734914,0.035418465705242624
hum_percent,-0.002462329324067649,2.0463187523027824e-4,-12.032970529624077,3.235427882666627e-33,-0.0028634284771947233,-0.002061230170940575
windspeed_real,-0.004122484077131886,3.7745689674239906e-4,-10.921734674105942,1.1172658499185853e-27,-0.004862337736074207,-0.003382630418189565
hr1时:workingday工作日,-0.5129924455328799,0.04245786819325022,-12.0823881971171,1.7847035415273872e-33,-0.5962141574813702,-0.42977073358438966
hr2时:workingday工作日,-0.8524224475963145,0.04255634580078424,-20.030442735536887,2.9856419669820416e-88,-0.935837185606553,-0.7690077095860759
hr3时:workingday工作日,-0.5855096146260389,0.04271199331066384,-13.708318653436752,1.510274170741827e-42,-0.6692294374835369,-0.5017897917685409
hr4时:workingday工作日,0.5487972813797416,0.04271056471842849,12.849216230169628,1.290955983521718e-37,0.46508025870738146,0.6325143040521017
hr5时:workingday工作日,1.949666314889522,0.04269617516874656,45.66372297246593,0,1.865977497188576,2.0333551325904677
hr6时:workingday工作日,2.738919844800812,0.042460347135271366,64.50535687037801,0,2.655693273875468,2.822146415726156
hr7时:workingday工作日,2.9227706049746187,0.042400638939977774,68.93223022209841,0,2.8396610681454537,3.0058801418037837
hr8时:workingday工作日,2.542955093468132,0.042404227511737315,59.96937670340186,0,2.4598385226756996,2.6260716642605644
hr9时:workingday工作日,1.361760755613108,0.042408805889858146,32.11033008450649,8.46704080743733e-220,1.2786352107369219,1.444886300489294
hr10时:workingday工作日,0.3453385126103933,0.04240158602616218,8.144471586447642,4.066426888264038e-16,0.26222711939660537,0.4284499058241812
hr11时:workingday工作日,0.24761980881927936,0.04240617745184321,5.839239084929981,5.337845522402728e-9,0.16449941594720147,0.33074020169135726
hr12时:workingday工作日,0.3223348055158655,0.04239807885129659,7.602580452911444,3.0510511045563246e-14,0.23923028671920776,0.4054393243125233
hr13时:workingday工作日,0.29417377935809247,0.042392696578181295,6.939256124355582,4.081305808878631e-12,0.2110798103606095,0.3772677483555754
hr14时:workingday工作日,0.21335981872086432,0.04239130093299038,5.0331038214215384,4.874419695652723e-7,0.13026858532898294,0.2964510521127457
hr15时:workingday工作日,0.3075366879913192,0.042388931544080875,7.255117710893639,4.182932389837624e-13,0.22445009884112288,0.39062327714151557
hr16时:workingday工作日,0.7207372009936701,0.04238114402544296,17.00608177450295,2.465212865519079e-64,0.6376658761669185,0.8038085258204217
hr17时:workingday工作日,1.4339918586003888,0.04237878128459727,33.837496386937836,4.318980210909045e-243,1.3509251649844454,1.5170585522163322
hr18时:workingday工作日,1.5169909724164619,0.04241933842876131,35.76177820321465,2.714270388925843e-270,1.4338447826997318,1.600137162133192
hr19时:workingday工作日,1.352480754756059,0.04242241191355191,31.881279110488453,8.624361295383268e-217,1.2693285406985693,1.4356329688135485
hr20时:workingday工作日,1.2795249191181506,0.04242134509779205,30.1622901435237,7.890310523524841e-195,1.19637479612735,1.362675042108951
hr21时:workingday工作日,1.2023509910482857,0.042419349102882656,28.344399819340428,8.497217867964068e-173,1.1192047804091994,1.285497201687372
hr22时:workingday工作日,1.116794812070541,0.04241922635218244,26.327562006870092,8.155006202926225e-150,1.0336488420352308,1.1999407821058514
hr23时:workingday工作日,0.9595772111877545,0.04241989035559962,22.620926248129397,1.1170695538569898e-111,0.8764299396386503,1.0427244827368587
