term,estimate,robust_std_error,statistic,p_value,percent_change
season夏季,0.3010285289037804,0.02827357114475576,10.646993524891736,2.172910811978936e-26,35.12478906091863
season秋季,0.3537387898444925,0.03380694694577301,10.463494098177403,1.514320568880558e-25,42.438307455789
season冬季,0.5822147919161925,0.03183517959841623,18.288409214602236,5.0834541502031036e-74,78.99985179943303
yr2012年,0.45751601774929634,0.009125533137533354,50.13581243462161,0,58.01440562892224
weathersit多云或有雾,-0.04234166457685223,0.011445693546859865,-3.699353333504958,2.1681751107911851e-4,-4.145777530504457
weathersit小雨雪,-0.5693041873288566,0.022538398952906467,-25.25930029539393,2.8116273067295e-138,-43.408092460154215
weathersit恶劣天气,-0.1038614082682448,0.5039938846691243,-0.20607672320554163,0.8367334011816112,-9.864979154850595
temp_celsius,0.03429608146972588,0.0013226863140684548,25.929111917877535,1.8364886987852955e-145,3.489097341154457
hum_percent,-0.0029726821644834203,3.4321112210505594e-4,-8.661380628491086,5.0646644622269895e-18,-0.2968268119791784
windspeed_real,-0.0036382351627859515,5.932354136584974e-4,-6.132869142704859,8.817926754578693e-10,-0.36316248043455346
