variable,importance
hr,43809.59948976211
workingday,9965.687269668066
temp_celsius,7970.894941204805
yr,6507.969590475325
hum_percent,2517.268172847542
season,1921.1385589347772
mnth,1608.2999939136855
weathersit,933.3322225334607
windspeed_real,174.61561699057444
holiday,65.25209522712896
